City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
193,Ous,RU,2021-04-01 21:22:20,60.9058,61.5186,28.29,91,43,6.35
194,Nizwa,OM,2021-04-01 21:22:20,22.9333,57.5333,76.71,29,6,3.49
195,Tazovskiy,RU,2021-04-01 21:22:20,67.4667,78.7,7.75,93,100,18.77
196,Sembabule,UG,2021-04-01 21:22:21,-0.0772,31.4567,63.95,85,81,5.21
197,Kathor,IN,2021-04-01 21:22:21,21.3,72.9333,78.3,74,2,10.76
198,Copiapo,CL,2021-04-01 21:22:18,-27.3667,-70.3333,66.2,55,0,14.97
199,Marawi,PH,2021-04-01 21:22:21,7.9986,124.2928,68.72,95,100,1.07
200,Luderitz,NA,2021-04-01 21:21:59,-26.6481,15.1594,68.45,65,0,10.47
201,Freetown,SL,2021-04-01 21:22:22,8.484,-13.2299,78.57,84,60,10.6
202,Fort Nelson,CA,2021-04-01 21:22:22,58.8053,-122.7002,39.2,35,75,19.57
203,Mandalgovi,MN,2021-04-01 21:22:23,45.7625,106.2708,24.58,55,31,10.31
204,Kandrian,PG,2021-04-01 21:22:23,-6.2167,149.55,78.06,86,31,3.71
205,Douentza,ML,2021-04-01 21:22:23,14.9951,-2.9517,83.26,6,0,5.99
206,Abhar,IR,2021-04-01 21:22:24,36.1468,49.218,49.32,68,26,3.0
207,Buin,CL,2021-04-01 21:22:24,-33.7333,-70.75,73.4,46,0,4.61
208,Gadarwara,IN,2021-04-01 21:22:24,22.9167,78.7833,77.31,10,0,2.33
209,Monrovia,LR,2021-04-01 21:22:24,6.3005,-10.7969,80.29,84,75,10.58
210,Dzilam Gonzalez,MX,2021-04-01 21:22:25,21.2833,-88.9333,83.26,57,4,12.37
211,Vao,NC,2021-04-01 21:22:25,-22.6667,167.4833,73.72,82,100,25.81
212,Petropavlovsk-Kamchatskiy,RU,2021-04-01 21:22:25,53.0452,158.6483,35.6,100,75,4.47
213,Mahebourg,MU,2021-04-01 21:21:40,-20.4081,57.7,78.8,89,40,8.05
214,Olinda,BR,2021-04-01 21:18:10,-8.0089,-34.8553,80.6,69,40,5.75
215,Klaksvik,FO,2021-04-01 21:22:26,62.2266,-6.589,42.8,87,75,12.66
216,Batagay-Alyta,RU,2021-04-01 21:22:26,67.8006,130.4114,-11.92,99,91,4.63
217,Axim,GH,2021-04-01 21:22:26,4.8699,-2.2405,79.75,87,54,6.35
218,Autazes,BR,2021-04-01 21:22:27,-3.5797,-59.1306,73.6,97,100,2.57
219,Fredericksburg,US,2021-04-01 21:17:59,38.3032,-77.4605,46.99,36,90,13.8
220,Bethel,US,2021-04-01 21:22:27,41.3712,-73.414,44.01,60,93,5.99
221,Mar Del Plata,AR,2021-04-01 21:19:11,-38.0023,-57.5575,69.01,63,0,11.5
222,Bubaque,GW,2021-04-01 21:22:27,11.2833,-15.8333,75.69,72,1,19.33
223,Leshukonskoye,RU,2021-04-01 21:22:28,64.8989,45.7622,29.19,95,97,6.26
224,Holme,DK,2021-04-01 21:22:28,56.1138,10.1725,39.0,80,3,1.14
225,Imperial,US,2021-04-01 21:22:28,33.0334,-115.4175,89.6,6,1,5.75
226,Broken Hill,AU,2021-04-01 21:22:29,-31.95,141.4333,62.6,51,0,6.91
227,Humaita,BR,2021-04-01 21:22:29,-7.5061,-63.0208,79.63,91,77,2.55
228,Ambon,ID,2021-04-01 21:22:29,-3.6954,128.1814,77.0,94,20,6.91
229,Laguna,US,2021-04-01 21:22:30,38.421,-121.4238,84.0,20,1,5.75
230,Hasaki,JP,2021-04-01 21:22:30,35.7333,140.8333,55.4,71,75,8.05
231,Port Hardy,CA,2021-04-01 21:22:30,50.6996,-127.4199,44.6,76,75,8.05
232,Haines Junction,CA,2021-04-01 21:21:50,60.7522,-137.5108,26.6,59,100,14.97
233,Sinnamary,GF,2021-04-01 21:22:31,5.3833,-52.95,78.24,82,89,12.21
234,Zhaotong,CN,2021-04-01 21:22:31,27.3167,103.7167,46.71,92,50,4.36
235,Nouadhibou,MR,2021-04-01 21:22:31,20.931,-17.0347,66.2,82,85,21.85
236,Taiyuan,CN,2021-04-01 21:22:31,37.8694,112.5603,41.0,81,90,4.47
237,Tawang,IN,2021-04-01 21:22:32,27.5833,91.8667,30.65,79,13,6.91
238,Saint-Francois,FR,2021-04-01 21:22:32,46.4154,3.9054,57.99,71,0,3.44
239,Xuddur,SO,2021-04-01 21:22:32,4.1213,43.8894,77.76,67,100,17.34
240,Vestmanna,FO,2021-04-01 21:22:33,62.1564,-7.1664,42.8,87,75,12.66
